epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,444.542,0.6631,0.44126,0.86341,0.98066,0.99572,0.99318,0.88201,0.53332,0.36985,0.83678,0.000310911,0.000310911,0.000310911
121,448.24,0.60775,0.42681,0.86748,0.9828,0.99398,0.99354,0.88298,0.55576,0.38403,0.84281,0.000308582,0.000308582,0.000308582
122,452.07,0.63324,0.43737,0.88424,0.97699,0.99342,0.99355,0.88163,0.49602,0.35517,0.83045,0.000306254,0.000306254,0.000306254
123,455.858,0.61519,0.43898,0.90214,0.97237,0.9907,0.99353,0.87236,0.50563,0.35507,0.82986,0.000303925,0.000303925,0.000303925
124,459.434,0.69876,0.46381,0.87612,0.97423,0.99415,0.99357,0.84395,0.57757,0.37266,0.84739,0.000301597,0.000301597,0.000301597
125,463.108,0.68072,0.42758,0.88505,0.97835,0.99243,0.99375,0.87545,0.53386,0.3622,0.83819,0.000299268,0.000299268,0.000299268
126,466.688,0.73175,0.4583,0.86017,0.98062,0.99295,0.99364,0.88929,0.50296,0.34914,0.83139,0.00029694,0.00029694,0.00029694
127,470.451,0.64642,0.44813,0.89488,0.97959,0.99305,0.99375,0.88424,0.55416,0.36239,0.8446,0.000294612,0.000294612,0.000294612
128,474.369,0.67038,0.44513,0.87276,0.97887,0.99606,0.99369,0.87051,0.53396,0.35291,0.84393,0.000292283,0.000292283,0.000292283
129,478.088,0.59242,0.40928,0.85518,0.98389,0.99367,0.99385,0.88554,0.54291,0.34978,0.8465,0.000289955,0.000289955,0.000289955
130,481.934,0.56897,0.38585,0.86293,0.98241,0.99567,0.99407,0.86869,0.60673,0.377,0.86239,0.000287626,0.000287626,0.000287626
131,485.818,0.59255,0.42317,0.86117,0.97905,0.99598,0.99406,0.86528,0.6256,0.38212,0.86676,0.000285298,0.000285298,0.000285298
132,489.566,0.56554,0.60822,0.86376,0.97881,0.99461,0.99397,0.8814,0.58663,0.36618,0.86189,0.000282969,0.000282969,0.000282969
133,493.293,0.56739,0.40043,0.86097,0.98208,0.9931,0.99401,0.89201,0.60147,0.37116,0.87073,0.000280641,0.000280641,0.000280641
134,497.104,0.59665,0.4277,0.85259,0.98308,0.99191,0.99403,0.90086,0.61121,0.37687,0.87034,0.000278312,0.000278312,0.000278312
135,501.046,0.58448,0.4032,0.82952,0.982,0.98758,0.99386,0.90118,0.5641,0.37442,0.85073,0.000275984,0.000275984,0.000275984
